date,temperature_high,temperature_low,weather,wind,air_quality,
2022-02-26 周六,10°,1°,多云,东南风1级,50 优,
2022-02-27 周日,13°,-2°,多云~阴,西南风2级,54 良,
2022-02-28 周一,10°,0°,阴,东风2级,64 良,
2022-01-01 周六,10°,-1°,晴,西南风2级,65 良,
2022-01-02 周日,9°,-1°,晴,西南风2级,60 良,
2022-01-03 周一,7°,0°,多云~小雨,西南风2级,54 良,
2022-01-04 周二,9°,-1°,多云~晴,西风2级,67 良,
2022-01-05 周三,9°,0°,多云~阴,西南风2级,62 良,
2022-01-06 周四,9°,2°,多云~阴,东南风1级,62 良,
2022-01-07 周五,7°,0°,多云~阴,东南风1级,60 良,
2022-01-08 周六,8°,0°,多云,西北风1级,50 优,
2022-01-09 周日,10°,0°,多云~阴,南风1级,61 良,
2022-01-10 周一,6°,0°,多云,东风2级,57 良,
2022-01-11 周二,8°,0°,多云~阴,东南风1级,66 良,
2022-01-12 周三,5°,-1°,多云~小雨,东风2级,66 良,
2022-01-13 周四,8°,-1°,多云~阴,东南风1级,54 良,
2022-01-14 周五,11°,-1°,多云,西南风2级,55 良,
2022-01-15 周六,11°,0°,多云~阴,东风1级,70 良,
2022-01-16 周日,13°,-1°,晴,西风2级,70 良,
2022-01-17 周一,14°,-13°,晴,西南风2级,65 良,
2022-01-18 周二,12°,-1°,晴,西南风2级,64 良,
2022-01-19 周三,13°,0°,晴~多云,西南风2级,63 良,
2022-01-20 周四,9°,2°,多云~阴,南风1级,60 良,
2022-01-21 周五,9°,1°,多云,西南风1级,39 优,
2022-01-22 周六,8°,2°,多云~小雨,东南风2级,33 优,
2022-01-23 周日,7°,2°,多云~小雨,东南风1级,38 优,
2022-01-24 周一,9°,1°,多云~阴,东南风1级,43 优,
2022-01-25 周二,4°,1°,多云~小雨,东南风2级,38 优,
2022-01-26 周三,5°,1°,多云~小雨,东南风1级,32 优,
2022-01-27 周四,3°,-1°,多云~小雨,东风2级,44 优,
2022-01-28 周五,5°,-3°,多云,东风2级,53 良,
2022-01-29 周六,8°,-3°,晴~多云,西南风2级,53 良,
2022-01-30 周日,6°,-3°,多云~阴,南风1级,56 良,
2022-01-31 周一,6°,-4°,多云~阴,东南风1级,61 良,
2021-12-01 周三,12°,0°,多云~阴,西南风1级,71 良,
2021-12-02 周四,11°,1°,多云~阴,东南风1级,75 良,
2021-12-03 周五,12°,1°,多云,东南风1级,86 良,
2021-12-04 周六,14°,0°,多云~晴,西风1级,89 良,
2021-12-05 周日,15°,1°,多云~晴,西南风1级,78 良,
2021-12-06 周一,13°,3°,多云~阴,东南风1级,75 良,
2021-12-07 周二,7°,4°,多云~小雨,东南风2级,40 优,
2021-12-08 周三,8°,2°,多云,西风1级,42 优,
2021-12-09 周四,13°,3°,多云~小雨,南风2级,35 优,
2021-12-10 周五,8°,2°,雾~小雨,东风1级,31 优,
2021-12-11 周六,9°,0°,多云~阴,东北风2级,40 优,
2021-12-12 周日,10°,0°,多云,西南风2级,41 优,
2021-12-13 周一,10°,0°,晴,西南风2级,40 优,
2021-12-14 周二,10°,2°,多云~阴,西南风1级,31 优,
2021-12-15 周三,6°,0°,多云~小雨,东南风2级,42 优,
2021-12-16 周四,7°,-1°,多云~阴,东风2级,37 优,
2021-12-17 周五,7°,-2°,多云~阴,东南风2级,29 优,
2021-12-18 周六,8°,-3°,多云,东风1级,51 良,
2021-12-19 周日,9°,-4°,晴~多云,东南风1级,62 良,
2021-12-20 周一,11°,-2°,晴,西风2级,85 良,
2021-12-21 周二,13°,-1°,晴,西南风2级,73 良,
2021-12-22 周三,12°,1°,晴~小雨,南风2级,58 良,
2021-12-23 周四,9°,-1°,多云,北风1级,83 良,
2021-12-24 周五,11°,2°,多云~小雨,西南风1级,76 良,
2021-12-25 周六,6°,-2°,多云~雨夹雪,东风2级,50 优,
2021-12-26 周日,3°,-3°,多云~雨夹雪,东风2级,49 优,
2021-12-27 周一,2°,-3°,多云,东南风1级,47 优,
2021-12-28 周二,5°,-3°,多云,东风1级,59 良,
2021-12-29 周三,8°,-2°,多云,东南风1级,76 良,
2021-12-30 周四,9°,0°,多云~小雨,东南风1级,76 良,
2021-12-31 周五,8°,-1°,多云,东风1级,53 良,
2021-11-01 周一,14°,8°,多云~小雨,东南风1级,26 优,
2021-11-02 周二,14°,7°,多云~小雨,东南风1级,29 优,
2021-11-03 周三,15°,7°,多云~阴,东南风1级,31 优,
2021-11-04 周四,16°,8°,多云~晴,西南风1级,34 优,
2021-11-05 周五,17°,8°,多云~小雨,西南风2级,29 优,
2021-11-06 周六,12°,0°,多云,东风2级,27 优,
2021-11-07 周日,8°,0°,晴,西北风2级,54 良,
2021-11-08 周一,11°,0°,多云,东南风2级,56 良,
2021-11-09 周二,12°,1°,多云,东南风1级,60 良,
2021-11-10 周三,14°,2°,多云~阴,东南风1级,63 良,
2021-11-11 周四,10°,0°,多云~小雨,东风2级,56 良,
2021-11-12 周五,14°,0°,晴,西北风1级,63 良,
2021-11-13 周六,15°,2°,多云,东南风1级,73 良,
2021-11-14 周日,12°,2°,多云~阴,南风1级,80 良,
2021-11-15 周一,14°,3°,多云~阴,东南风1级,77 良,
2021-11-16 周二,5°,2°,多云,东风1级,59 良,
2021-11-17 周三,15°,2°,晴,西南风1级,50 优,
2021-11-18 周四,14°,3°,多云,西南风2级,60 良,
2021-11-19 周五,16°,5°,多云~阴,东南风2级,51 良,
2021-11-20 周六,13°,2°,多云~小雨,东风1级,55 良,
2021-11-21 周日,11°,2°,多云~阴,东风2级,77 良,
2021-11-22 周一,10°,1°,多云,东南风1级,75 良,
2021-11-23 周二,13°,0°,多云,西南风1级,76 良,
2021-11-24 周三,16°,0°,晴,西风1级,80 良,
2021-11-25 周四,15°,3°,晴~阴,东南风1级,85 良,
2021-11-26 周五,10°,2°,多云~阴,东南风1级,68 良,
2021-11-27 周六,11°,3°,多云,东南风1级,27 优,
2021-11-28 周日,10°,1°,多云~小雨,东南风2级,30 优,
2021-11-29 周一,11°,-1°,小雨~晴,西北风2级,46 优,
2021-11-30 周二,11°,-1°,多云,东南风2级,75 良,
2021-10-01 周五,27°,15°,多云,东南风1级,24 优,
2021-10-02 周六,26°,17°,多云~小雨,东南风2级,23 优,
2021-10-03 周日,25°,15°,多云~中雨,东南风2级,23 优,
2021-10-04 周一,16°,13°,多云~小雨,东北风1级,20 优,
2021-10-05 周二,17°,12°,多云~小雨,东南风1级,18 优,
2021-10-06 周三,18°,11°,多云,东北风1级,18 优,
2021-10-07 周四,23°,11°,多云~阴,西北风1级,21 优,
